Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-10-22,Knives Out,2019,https://boxd.it/3lIDrr,,,,2021-10-21
2025-11-12,"The Good, the Bad and the Ugly",1966,https://boxd.it/bGdTXz,5,Yes,,2021-10-22
2022-05-12,The Champion,2020,https://boxd.it/2PCR1R,1.5,,,2021-11-02
2022-10-22,Black and Blue,2019,https://boxd.it/3lIDEb,,,,2021-11-09
2025-11-12,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/bGfeOF,5,Yes,,2021-11-10
2025-11-12,The Lord of the Rings: The Two Towers,2002,https://boxd.it/bGffmx,4.5,Yes,,2021-11-10
2025-11-12,The Lord of the Rings: The Return of the King,2003,https://boxd.it/bGffJ7,5,Yes,,2021-11-11
2025-11-12,The Hunt,2012,https://boxd.it/bGcXJf,5,Yes,,2021-11-14
2022-07-04,A Rainy Day in New York,2019,https://boxd.it/2ZeOIP,3,,,2021-11-19
2025-11-12,Don Camillo: Monsignor,1961,https://boxd.it/bGdHNx,,Yes,,2021-11-24
2025-11-12,Down Periscope,1996,https://boxd.it/bGcIT5,,Yes,,2021-12-05
2022-10-22,Tom Clancy's Without Remorse,2021,https://boxd.it/3lIEgf,,,,2021-12-06
2022-07-05,The Night Doctor,2020,https://boxd.it/2ZxvX5,3,,,2021-12-07
2025-11-12,The Emperor and the Golem,1952,https://boxd.it/bGcPM1,5,,,2021-12-12
2022-05-06,Judas and the Black Messiah,2021,https://boxd.it/2Oxg9P,2,,,2021-12-16
2024-01-01,The Brain,1969,https://boxd.it/5sgOd9,4,Yes,,2021-12-17
2024-01-01,My New Partner,1984,https://boxd.it/5sgUrB,3.5,Yes,,2021-12-19
2024-01-01,The Gendarme Gets Married,1968,https://boxd.it/5sgQBn,4,Yes,,2021-12-20
2025-11-12,Holiday with Angel,1953,https://boxd.it/bGcRDb,,Yes,,2021-12-22
2025-11-12,Angel in the Mountains,1955,https://boxd.it/bGcS9L,,Yes,,2021-12-22
